days,year,diff
five,2012,0.007362581946545599
five,2013,0.0031297891169678183
five,2014,0.004866800858069009
five,2015,0.034202464429164636
five,2016,0.01524174595568939
five,2017,0.011305499725927315
five,2018,0.0033112195350252227
five,2019,0.0047778070506475645
five,2020,0.017249909297800015
five,2021,0.017192375727943077
four,2012,0.007362581946545599
four,2013,0.0031297891169678183
four,2014,0.004866800858069009
four,2015,0.03907686023555046
four,2016,0.01524174595568939
four,2017,0.012607345148912819
four,2018,0.0033112195350252227
four,2019,0.0047778070506475645
four,2020,0.017249909297800015
four,2021,0.018782422038041813
one,2012,0.007362581946545599
one,2013,0.0031297891169678183
one,2014,0.004866800858069009
one,2015,0.04365171216556607
one,2016,0.01524174595568939
one,2017,0.019436323771240605
one,2018,0.0033112195350252227
one,2019,0.0047778070506475645
one,2020,0.017249909297800015
one,2021,0.06137578756981299
three,2012,0.007362581946545599
three,2013,0.0031297891169678183
three,2014,0.004866800858069009
three,2015,0.04365171216556607
three,2016,0.01524174595568939
three,2017,0.014046226932212691
three,2018,0.0033112195350252227
three,2019,0.0047778070506475645
three,2020,0.017249909297800015
three,2021,0.06137578756981299
two,2012,0.007362581946545599
two,2013,0.0031297891169678183
two,2014,0.004866800858069009
two,2015,0.04365171216556607
two,2016,0.01524174595568939
two,2017,0.017129545039283767
two,2018,0.0033112195350252227
two,2019,0.0047778070506475645
two,2020,0.017249909297800015
two,2021,0.06137578756981299
